locationId,location,parameter,value,unit,country,city,isMobile,isAnalysis,entity,sensorType,date_utc,lat,long
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T06:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T05:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.5,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T04:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.9,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T03:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.9,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T02:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T01:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.6,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-29T00:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.1,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T23:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T19:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T18:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.5,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T17:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.5,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T16:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.5,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T15:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.9,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T14:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,34.0,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T13:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T12:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T11:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T10:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T09:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.3,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T08:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T07:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.5,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T06:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.1,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T05:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.1,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T04:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.8,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T03:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.8,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T02:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T01:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-28T00:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.8,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T23:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.0,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T22:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.4,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T20:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.3,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T19:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.3,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T18:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.1,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T17:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.0,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T16:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T14:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.6,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T13:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,32.7,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T12:00:00+00:00,18.840732,98.96978
225669,"City Hall, Chiangmai",pm25,33.2,µg/m³,TH,,False,,Governmental Organization,reference grade,2024-01-27T10:00:00+00:00,18.840732,98.96978
