6612|74|จังหวัดสมุทรสาคร |0| |0| |0| |284,337|307,696|592,033|316,718|
6612|75|จังหวัดสมุทรสงคราม |0| |0| |0| |89,679|98,314|187,993|76,343|
6612|76|จังหวัดเพชรบุรี |0| |0| |0| |232,872|250,796|483,668|233,561|
6612|77|จังหวัดประจวบคีรีขันธ์ |0| |0| |0| |270,074|280,903|550,977|288,188|
6612|80|จังหวัดนครศรีธรรมราช |0| |0| |0| |760,886|780,067|1,540,953|608,533|
6612|81|จังหวัดกระบี่ |0| |0| |0| |239,441|242,680|482,121|204,440|
6612|82|จังหวัดพังงา |0| |0| |0| |133,379|133,678|267,057|123,860|
6612|83|จังหวัดภูเก็ต |0| |0| |0| |199,500|224,099|423,599|285,937|
6612|84|จังหวัดสุราษฎร์ธานี |0| |0| |0| |528,358|547,430|1,075,788|539,755|
6612|85|จังหวัดระนอง |0| |0| |0| |97,359|96,012|193,371|97,081|
6612|86|จังหวัดชุมพร |0| |0| |0| |250,921|257,936|508,857|252,386|
6612|90|จังหวัดสงขลา |0| |0| |0| |696,601|735,358|1,431,959|584,425|
6612|91|จังหวัดสตูล |0| |0| |0| |162,039|163,431|325,470|110,545|
6612|92|จังหวัดตรัง |0| |0| |0| |311,212|325,805|637,017|243,956|
6612|93|จังหวัดพัทลุง |0| |0| |0| |253,232|267,366|520,598|205,036|
6612|94|จังหวัดปัตตานี |0| |0| |0| |364,396|372,681|737,077|204,902|
6612|95|จังหวัดยะลา |0| |0| |0| |273,248|276,698|549,946|178,717|
6612|96|จังหวัดนราธิวาส |0| |0| |0| |405,170|413,992|819,162|229,831|
