measurement_id,row,col,aod_055,tile_id,aod_datetime
5589,252,920,-28672.0,h27v07,2020-02-05 04:30:00+00:00
5590,252,920,-28672.0,h27v07,2020-02-05 04:30:00+00:00
6279,252,920,-28672.0,h27v07,2020-03-05 07:00:00+00:00
6280,252,920,-28672.0,h27v07,2020-03-05 07:00:00+00:00
6281,252,920,-28672.0,h27v07,2020-03-05 07:00:00+00:00
603,252,920,-28672.0,h27v07,2019-07-18 03:55:00+00:00
604,252,920,-28672.0,h27v07,2019-07-18 03:55:00+00:00
4364,252,920,544.0,h27v07,2020-01-30 06:35:00+00:00
4365,252,920,544.0,h27v07,2020-01-30 06:35:00+00:00
52975,252,920,-28672.0,h27v07,2021-06-25 03:25:00+00:00
13455,252,920,1107.0,h27v07,2021-03-18 06:05:00+00:00
13456,252,920,1107.0,h27v07,2021-03-18 06:05:00+00:00
9414,252,920,-28672.0,h27v07,2020-09-29 04:00:00+00:00
9415,252,920,-28672.0,h27v07,2020-09-29 04:00:00+00:00
9416,252,920,-28672.0,h27v07,2020-09-29 04:00:00+00:00
11914,252,920,90.0,h27v07,2020-12-02 07:05:00+00:00
14235,252,920,-28672.0,h27v07,2021-04-06 05:05:00+00:00
14236,252,920,-28672.0,h27v07,2021-04-06 05:05:00+00:00
9905,252,920,-28672.0,h27v07,2020-09-07 06:00:00+00:00
9906,252,920,-28672.0,h27v07,2020-09-07 06:00:00+00:00
9907,252,920,-28672.0,h27v07,2020-09-07 06:00:00+00:00
8628,252,920,-28672.0,h27v07,2020-07-15 03:35:00+00:00
8629,252,920,-28672.0,h27v07,2020-07-15 03:35:00+00:00
9838,252,920,-28672.0,h27v07,2020-09-10 03:30:00+00:00
9839,252,920,-28672.0,h27v07,2020-09-10 03:30:00+00:00
10413,252,920,-28672.0,h27v07,2020-10-14 04:55:00+00:00
10414,252,920,-28672.0,h27v07,2020-10-14 04:55:00+00:00
992,252,920,-28672.0,h27v07,2019-08-30 06:40:00+00:00
