locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
388962,Li District Office,pm25,125.0,"{'utc': '2023-02-16T00:00:00+00:00', 'local': '2023-02-16T07:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,134.0,"{'utc': '2023-02-15T23:00:00+00:00', 'local': '2023-02-16T06:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,143.0,"{'utc': '2023-02-15T22:00:00+00:00', 'local': '2023-02-16T05:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,152.0,"{'utc': '2023-02-15T21:00:00+00:00', 'local': '2023-02-16T04:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,161.0,"{'utc': '2023-02-15T20:00:00+00:00', 'local': '2023-02-16T03:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,169.0,"{'utc': '2023-02-15T19:00:00+00:00', 'local': '2023-02-16T02:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,178.0,"{'utc': '2023-02-15T18:00:00+00:00', 'local': '2023-02-16T01:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,186.0,"{'utc': '2023-02-15T17:00:00+00:00', 'local': '2023-02-16T00:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,196.0,"{'utc': '2023-02-15T16:00:00+00:00', 'local': '2023-02-15T23:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,205.0,"{'utc': '2023-02-15T15:00:00+00:00', 'local': '2023-02-15T22:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,215.0,"{'utc': '2023-02-15T14:00:00+00:00', 'local': '2023-02-15T21:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
