locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
388962,Li District Office,pm25,23.0,"{'utc': '2023-05-31T00:00:00+00:00', 'local': '2023-05-31T07:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,21.0,"{'utc': '2023-05-30T20:00:00+00:00', 'local': '2023-05-31T03:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,21.0,"{'utc': '2023-05-30T19:00:00+00:00', 'local': '2023-05-31T02:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,21.0,"{'utc': '2023-05-30T18:00:00+00:00', 'local': '2023-05-31T01:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,20.0,"{'utc': '2023-05-30T17:00:00+00:00', 'local': '2023-05-31T00:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,20.0,"{'utc': '2023-05-30T16:00:00+00:00', 'local': '2023-05-30T23:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,19.0,"{'utc': '2023-05-30T15:00:00+00:00', 'local': '2023-05-30T22:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,18.0,"{'utc': '2023-05-30T14:00:00+00:00', 'local': '2023-05-30T21:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,16.0,"{'utc': '2023-05-30T12:00:00+00:00', 'local': '2023-05-30T19:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,16.0,"{'utc': '2023-05-30T11:00:00+00:00', 'local': '2023-05-30T18:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,17.0,"{'utc': '2023-05-30T10:00:00+00:00', 'local': '2023-05-30T17:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,17.0,"{'utc': '2023-05-30T09:00:00+00:00', 'local': '2023-05-30T16:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
388962,Li District Office,pm25,18.0,"{'utc': '2023-05-30T08:00:00+00:00', 'local': '2023-05-30T15:00:00+07:00'}",µg/m³,"{'latitude': 17.802222, 'longitude': 98.949722}",TH,,False,,Governmental Organization,reference grade
