locationId,location,parameter,value,date,unit,coordinates,country,city,isMobile,isAnalysis,entity,sensorType
1753563,ดวงดี,pm25,54.83035818735758,"{'utc': '2023-11-30T00:00:00+00:00', 'local': '2023-11-30T07:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,41.536111195882164,"{'utc': '2023-11-29T23:00:00+00:00', 'local': '2023-11-30T06:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,39.71468194325765,"{'utc': '2023-11-29T22:00:00+00:00', 'local': '2023-11-30T05:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,40.21547603607178,"{'utc': '2023-11-29T20:00:00+00:00', 'local': '2023-11-30T03:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,40.96011924743652,"{'utc': '2023-11-29T19:00:00+00:00', 'local': '2023-11-30T02:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,39.84742069244385,"{'utc': '2023-11-29T18:00:00+00:00', 'local': '2023-11-30T01:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,40.769246419270836,"{'utc': '2023-11-29T17:00:00+00:00', 'local': '2023-11-30T00:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,40.576388676961265,"{'utc': '2023-11-29T16:00:00+00:00', 'local': '2023-11-29T23:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,44.508134841918945,"{'utc': '2023-11-29T15:00:00+00:00', 'local': '2023-11-29T22:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,49.71944491068522,"{'utc': '2023-11-29T14:00:00+00:00', 'local': '2023-11-29T21:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,46.412500063578285,"{'utc': '2023-11-29T13:00:00+00:00', 'local': '2023-11-29T20:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
1753563,ดวงดี,pm25,53.036904652913414,"{'utc': '2023-11-29T12:00:00+00:00', 'local': '2023-11-29T19:00:00+07:00'}",µg/m³,"{'latitude': 18.91977780483509, 'longitude': 98.95279736395602}",TH,,False,,Private Organization,low-cost sensor
